METRIC,label,operations,logical_row_mutations,payload_queries,logical_payload_bytes,heap_delta,toast_delta,index_delta,wal_bytes,p50_ms,p95_ms,p99_ms
METRIC,uuid_tree_1000_build,1,1098,65,105032,114688,0,98304,398344,105.406,105.406,105.406
METRIC,uuid_tree_1000_metadata,10,10,0,0,8192,0,16384,3792,0.500,0.895,0.895
METRIC,uuid_tree_1000_edit,1,67,6,11122,8192,0,8192,26704,7.419,7.419,7.419
METRIC,uuid_delta_1000_edit,1,1,0,0,8192,0,0,368,1.068,1.068,1.068
METRIC,uuid_tree_1000_delete,1,66,7,14168,8192,0,8192,26432,8.192,8.192,8.192
METRIC,uuid_delta_1000_delete,1,1,0,0,0,0,0,368,1.025,1.025,1.025
METRIC,uuid_tree_1000_move,1,143,20,26736,8192,0,8192,50576,23.150,23.150,23.150
METRIC,uuid_delta_1000_move,1,1,0,0,0,0,0,368,0.947,0.947,0.947
METRIC,uuid_tree_1000_bulk100,1,5189,900,839290,524288,0,491520,1836824,1112.722,1112.722,1112.722
METRIC,uuid_delta_1000_bulk100,1,100,0,0,16384,122880,24576,161104,51.045,51.045,51.045
METRIC,uuid_tree_1000_page100,10,0,70,149220,0,0,0,0,2.982,3.357,3.357
METRIC,uuid_delta_1000_array_page100,10,0,20,985740,0,0,0,0,1.919,2.205,2.205
METRIC,uuid_tree_10000_build,1,10971,647,1072859,1171456,0,942080,3921088,1127.124,1127.124,1127.124
METRIC,uuid_tree_10000_metadata,10,10,0,0,0,0,0,3600,0.563,1.063,1.063
METRIC,uuid_tree_10000_edit,1,79,9,12656,8192,0,24576,38992,11.527,11.527,11.527
METRIC,uuid_delta_10000_edit,1,1,0,0,0,0,0,368,1.389,1.389,1.389
METRIC,uuid_tree_10000_delete,1,78,11,18040,0,0,32768,35704,13.787,13.787,13.787
METRIC,uuid_delta_10000_delete,1,1,0,0,0,0,0,368,1.108,1.108,1.108
METRIC,uuid_tree_10000_move,1,164,24,30776,16384,0,8192,58816,27.017,27.017,27.017
METRIC,uuid_delta_10000_move,1,1,0,0,0,0,0,368,0.959,0.959,0.959
METRIC,uuid_tree_10000_bulk100,1,6089,900,971090,614400,0,524288,2148128,938.303,938.303,938.303
METRIC,uuid_delta_10000_bulk100,1,100,0,0,16384,1228800,24576,1306216,121.266,121.266,121.266
METRIC,uuid_tree_10000_page100,10,0,70,155810,0,0,0,0,3.206,3.860,3.860
METRIC,uuid_delta_10000_array_page100,10,0,20,9805740,0,0,0,0,11.324,17.942,17.942
METRIC,uuid_tree_50000_build,1,54844,3229,5367771,5865472,0,4980736,19799736,5864.299,5864.299,5864.299
