METRIC,label,operations,logical_row_mutations,payload_queries,logical_payload_bytes,heap_delta,toast_delta,index_delta,wal_bytes,p50_ms,p95_ms,p99_ms
METRIC,uuid_tree_50000_metadata,10,10,0,0,0,0,0,3600,0.794,1.124,1.124
METRIC,uuid_tree_50000_edit,1,99,12,15336,8192,0,8192,37960,18.295,18.295,18.295
METRIC,uuid_delta_50000_edit,1,1,0,0,0,0,0,368,1.624,1.624,1.624
METRIC,uuid_tree_50000_delete,1,98,15,22643,8192,0,0,33752,17.031,17.031,17.031
METRIC,uuid_delta_50000_delete,1,1,0,0,0,0,0,368,0.939,0.939,0.939
METRIC,uuid_tree_50000_move,1,203,31,37915,24576,0,8192,69784,33.955,33.955,33.955
METRIC,uuid_delta_50000_move,1,1,0,0,0,0,0,368,0.957,0.957,0.957
METRIC,uuid_tree_50000_bulk100,1,7989,1200,1224690,778240,0,679936,2805136,1423.733,1423.733,1423.733
METRIC,uuid_delta_50000_bulk100,1,100,0,0,16384,6127616,73728,6423704,395.183,395.183,395.183
METRIC,uuid_tree_50000_page100,10,0,80,168490,0,0,0,0,3.592,3.950,3.950
METRIC,uuid_delta_50000_array_page100,10,0,20,49005740,0,0,0,0,48.619,109.693,109.693
METRIC,uuid_tree_100000_build,1,109683,6455,10735468,11739136,0,9961472,39598504,11901.366,11901.366,11901.366
METRIC,uuid_tree_100000_metadata,10,10,0,0,0,0,0,3600,0.508,0.859,0.859
METRIC,uuid_tree_100000_edit,1,101,12,15636,16384,0,8192,38632,13.348,13.348,13.348
METRIC,uuid_delta_100000_edit,1,1,0,0,0,0,0,368,1.819,1.819,1.819
METRIC,uuid_tree_100000_delete,1,100,15,22943,8192,0,16384,42456,16.159,16.159,16.159
METRIC,uuid_delta_100000_delete,1,1,0,0,0,0,0,368,1.069,1.069,1.069
METRIC,uuid_tree_100000_move,1,207,31,38515,16384,0,0,70696,37.624,37.624,37.624
METRIC,uuid_delta_100000_move,1,1,0,0,0,0,0,368,1.197,1.197,1.197
METRIC,uuid_tree_100000_bulk100,1,8189,1200,1254690,794624,0,647168,2853528,1277.978,1277.978,1277.978
METRIC,uuid_delta_100000_bulk100,1,100,0,0,16384,12255232,147456,12816264,1030.736,1030.736,1030.736
METRIC,uuid_tree_100000_page100,10,0,80,169990,0,0,0,0,4.942,5.776,5.776
METRIC,uuid_delta_100000_array_page100,10,0,20,98005740,0,0,0,0,93.865,113.599,113.599
METRIC,delta_prepared_generation100000,1,100002,0,0,8454144,0,10518528,31578696,2036.351,2036.351,2036.351
METRIC,delta_prepared_fork_chain25_first100,25,25,25,235025,8192,0,8192,6904,1.244,2.293,3.085
METRIC,tree_fork_chain25_first100,25,50,175,447525,8192,0,8192,16856,5.283,5.689,6.771
METRIC,delta_prepared_fork_private_edit,1,1,0,0,8192,0,8192,368,0.652,0.652,0.652
METRIC,native_tree_document1000edits,1000,42000,6000,7300000,4382720,2727936,3932160,19820728,7.239,9.707,10.578
METRIC,native_delta_nodehead1000edits,1000,2000,0,0,81920,15867904,278528,16659080,1.644,2.065,13.924
METRIC,native_tree_equal_document_rev0,10,0,60,3072370,0,0,0,0,5.617,6.707,6.707
METRIC,native_delta_equal_document_rev0,10,0,20,2937600,0,0,0,0,3.106,5.728,5.728
METRIC,native_tree_equal_document_rev1,10,0,60,3072370,0,0,0,0,5.229,6.394,6.394
METRIC,native_delta_equal_document_rev1,10,0,20,2960530,0,0,0,0,3.142,5.102,5.102
METRIC,native_tree_equal_document_rev31,10,0,60,3072370,0,0,0,0,5.363,6.090,6.090
METRIC,native_delta_equal_document_rev31,10,0,20,2983460,0,0,0,0,3.182,3.607,3.607
METRIC,native_tree_equal_document_rev32,10,0,60,3072370,0,0,0,0,5.439,6.253,6.253
METRIC,native_delta_equal_document_rev32,10,0,20,3006390,0,0,0,0,3.345,5.387,5.387
METRIC,native_tree_equal_document_rev33,10,0,60,3072370,0,0,0,0,5.132,5.973,5.973
METRIC,native_delta_equal_document_rev33,10,0,20,3029320,0,0,0,0,3.561,3.893,3.893
METRIC,native_tree_equal_document_rev999,10,0,60,3072370,0,0,0,0,5.600,7.919,7.919
METRIC,native_delta_equal_document_rev999,10,0,20,3235690,0,0,0,0,3.608,4.484,4.484
METRIC,native_tree_equal_document_rev1000,10,0,60,3072370,0,0,0,0,5.540,6.438,6.438
METRIC,native_delta_equal_document_rev1000,10,0,20,3258620,0,0,0,0,3.440,6.522,6.522
